01;1;3;7;00005
01;1;2;8;00006
01;1;3;0;00007
01;1;3;1;00008
01;1;4;7;00009
04;5;5;6;00012
01;0;4;8;00015
05;0;1;2;00016
01;0;3;3;00017
02;2;6;6;00020
05;0;1;4;00025
05;0;1;1;00027
03;2;5;4;00033
03;2;5;4;00036
05;2;4;0;00040
05;2;4;0;00043
02;2;8;6;00046
05;2;4;5;00049
05;2;4;1;00052
04;2;5;0;00056
04;2;4;0;00060
01;1;3;7;00065
01;1;2;8;00066
01;1;3;0;00067
03;2;5;4;00070
05;1;1;0;00072
05;1;1;2;00073
02;2;6;6;00077
02;2;6;6;00087
05;2;1;0;00090
05;2;1;0;00092
05;2;1;0;00094
05;2;1;0;00097
05;2;4;0;00100
01;0;3;3;00105
01;0;1;5;00110
01;0;3;4;00115
01;0;1;0;00120
01;3;1;0;00123
01;3;3;7;00126
01;3;2;7;00130
01;3;3;7;00135
01;3;1;8;00138
01;3;1;6;00145
02;2;6;0;00150
02;2;8;6;00160
02;2;7;6;00170
05;2;2;0;00175
05;2;3;0;00177
05;2;4;0;00180
03;2;5;4;00185
03;2;5;4;00188
02;2;9;0;00195
