03;6;3;7;00005
04;6;5;8;00006
01;6;4;5;00007
01;6;6;1;00008
01;0;4;7;00009
03;6;4;7;00011
03;6;5;6;00012
03;6;5;6;00014
01;6;4;8;00015
05;6;3;2;00016
01;6;3;5;00017
02;7;9;3;00018
02;0;4;3;00019
04;6;6;0;00020
05;6;2;0;00021
04;7;5;5;00022
04;7;4;0;00024
05;0;1;4;00025
05;0;1;1;00027
05;7;3;1;00028
02;7;7;4;00030
03;1;5;4;00033
03;1;2;4;00034
03;2;5;4;00036
01;7;3;7;00037
01;7;5;6;00039
05;2;3;0;00040
05;2;2;7;00043
02;7;8;6;00046
05;6;2;0;00048
05;0;3;5;00049
05;0;4;1;00052
05;0;2;7;00053
04;2;5;0;00056
04;6;5;5;00058
04;7;4;0;00060
04;2;4;0;00063
01;7;3;7;00065
01;7;2;8;00066
01;7;3;0;00067
03;6;5;4;00070
05;6;4;0;00072
05;0;2;2;00073
05;2;3;2;00075
02;7;9;8;00077
05;7;2;8;00079
05;7;1;8;00082
03;6;6;6;00084
02;2;6;6;00087
05;4;2;0;00090
05;5;3;0;00092
05;6;1;4;00094
03;7;3;4;00096
05;4;3;4;00097
05;6;5;0;00100
05;6;2;0;00103
01;7;3;3;00105
02;7;3;2;00107
02;0;3;3;00108
01;7;1;5;00110
01;7;4;5;00113
01;6;3;4;00115
05;6;3;4;00117
01;6;3;4;00118
05;6;4;0;00120
01;3;3;0;00123
01;3;3;7;00126
02;0;9;7;00128
01;7;2;3;00130
01;7;3;7;00135
03;7;3;0;00136
01;7;6;8;00138
03;6;2;8;00140
01;6;3;0;00142
01;7;2;6;00145
01;3;2;6;00147
01;7;3;6;00149
02;6;6;0;00150
05;3;2;0;00153
05;1;3;0;00156
05;2;4;0;00158
02;6;8;6;00160
05;3;4;0;00163
05;3;4;0;00166
04;7;4;1;00168
02;7;7;6;00170
05;0;4;0;00173
05;2;2;0;00175
04;6;3;0;00177
05;7;4;0;00180
04;6;4;0;00183
03;7;5;4;00185
03;2;5;4;00188
04;6;4;0;00190
02;7;7;0;00190
04;6;1;3;00193
04;0;2;0;00195
04;1;1;4;00196
04;2;3;0;00197
04;3;2;8;00198
05;0;1;0;00200
05;0;2;4;00203
02;6;8;6;00205
02;7;5;6;00206
03;2;5;8;00207
03;0;5;8;00210
02;7;5;6;00212
01;2;5;8;00214
03;0;5;8;00215
02;7;5;0;00217
03;2;5;8;00219
02;7;9;8;00221
