01;3;1;8;00005
05;3;1;0;00007
01;3;1;8;00010
05;3;1;1;00012
01;3;2;7;00015
01;3;2;7;00020
04;0;5;0;00025
04;0;6;8;00026
03;0;5;0;00038
03;1;5;2;00045
02;3;7;0;00055
01;3;1;2;00060
02;0;7;4;00065
01;3;4;7;00070
01;3;3;0;00079
01;3;2;0;00083
01;0;3;0;00085
01;0;3;7;00086
01;5;3;7;00090
01;5;6;0;00091
01;5;4;0;00093
02;0;5;4;00098
01;5;3;7;00099
01;3;1;3;00105
01;3;4;3;00106
04;0;5;5;00107
04;0;5;0;00117
04;5;3;5;00120
02;2;4;6;00130
02;0;3;6;00140
01;3;1;8;00141
01;3;1;8;00143
01;3;2;5;00145
01;3;1;5;00150
02;5;5;7;00160
05;0;2;8;00165
01;3;2;0;00168
01;3;2;7;00171
01;5;2;2;00175
01;5;4;1;00177
01;5;2;0;00179
05;0;1;3;00182
05;0;2;3;00183
05;0;1;3;00185
05;0;2;2;00187
05;2;1;3;00188
02;0;9;8;00189
